2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:19:52 - PHP Notice:  Undefined variable: pack_id in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 270
2017-03-29 8:39:42 - PHP Notice:  Undefined variable: package_info in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:39:42 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:43:22 - PHP Notice:  Undefined variable: package_info in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:43:22 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:44:10 - PHP Notice:  Undefined variable: package_info in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:44:10 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 432
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:44:10 - PHP Notice:  Undefined variable: pack_id in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 270
2017-03-29 8:45:38 - PHP Notice:  Undefined variable: training_id in C:\xampp\htdocs\vc_fitness_new\admin\login\controller\package\package.php on line 453
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
